date,Último,Abertura,Máxima,Mínima,Vol.,Var%,value
2000-12-27,15186,14805,15223,14805,"239,98M","2,65%",15186
2000-12-28,15259,15188,15269,15132,"324,26M","0,48%",15259
2001-01-02,15425,15242,15621,15174,"230,63M","1,09%",15425
2001-01-03,16599,15425,16599,15251,"381,20M","7,61%",16599
2001-01-04,16675,16597,16933,16587,"331,23M","0,46%",16675
2001-01-05,1641,16679,16888,1638,"199,69M","-1,59%",1641
2001-01-08,16562,16398,16623,16226,"160,70M","0,93%",16562
2001-01-09,16976,16566,17096,16566,"346,48M","2,50%",16976
2001-01-10,16919,16964,17093,16701,"256,51M","-0,34%",16919
2001-01-11,17024,16908,17045,16797,"201,85M","0,62%",17024
2001-01-12,1685,17034,17212,16821,"212,47M","-1,02%",1685
2001-01-15,16963,16858,17038,16858,"955,31M","0,67%",16963
2001-01-16,16721,16973,17035,16662,"214,89M","-1,43%",16721
2001-01-17,17191,16748,17255,16745,"401,27M","2,81%",17191
2001-01-18,17521,17204,17642,17151,"652,57M","1,92%",17521
2001-01-19,1753,17525,17816,17512,"290,07M","0,05%",1753
2001-01-22,17392,17548,17578,17297,"152,63M","-0,79%",17392
2001-01-23,17832,17381,17864,17376,"325,48M","2,53%",17832
2001-01-24,17772,17849,18022,17698,"361,24M","-0,34%",17772
2001-01-26,17889,17776,17933,17591,"260,42M","0,66%",17889
2001-01-29,17883,17906,18023,17704,"198,93M","-0,03%",17883
2001-01-30,17723,17882,17898,17668,"285,83M","-0,90%",17723
2001-01-31,17673,17725,17921,17637,"213,72M","-0,28%",17673
2001-02-01,17039,1767,17673,16977,"319,39M","-3,59%",17039
2001-02-02,16915,17027,17206,16781,"199,36M","-0,73%",16915
2001-02-05,16731,16914,16941,16539,"137,05M","-1,09%",16731
2001-02-06,17007,16734,17017,16734,"149,52M","1,65%",17007
2001-02-07,16812,17003,17003,1663,"176,16M","-1,14%",16812
2001-02-08,17243,16814,17279,16814,"205,56M","2,56%",17243
2001-02-09,17138,17257,1727,1705,"161,35M","-0,61%",17138
2001-02-12,16917,17163,17234,16883,"134,71M","-1,29%",16917
2001-02-13,17096,16922,17174,16883,"146,75M","1,06%",17096
2001-02-14,1712,17078,17286,1689,"239,22M","0,14%",1712
2001-02-15,16937,17121,17262,16922,"153,59M","-1,07%",16937
2001-02-16,16259,16934,1695,161,"252,53M","-4,00%",16259
2001-02-19,16061,16263,16392,16023,"150,63M","-1,22%",16061
2001-02-20,15911,16066,16242,15783,"213,82M","-0,94%",15911
2001-02-21,15594,15909,15909,15568,"238,95M","-1,99%",15594
2001-02-22,1591,15604,15914,15558,"205,35M","2,03%",1591
2001-02-23,16158,1592,16223,15831,"170,63M","1,55%",16158
2001-02-28,15891,16158,16274,15891,"188,36M","-1,65%",15891
2001-03-01,16417,15891,16439,15875,"153,37M","3,30%",16417
2001-03-02,16581,16423,16723,16233,"184,54M","1,00%",16581
2001-03-05,16537,1662,16737,16471,"121,32M","-0,26%",16537
2001-03-06,16324,16573,16813,16279,"199,21M","-1,29%",16324
2001-03-07,16395,16329,1643,16223,"179,00M","0,43%",16395
2001-03-08,16227,16401,16531,16096,"218,55M","-1,03%",16227
2001-03-09,16123,16233,16248,16018,"161,62M","-0,64%",16123
2001-03-12,15527,16125,16143,15523,"163,54M","-3,70%",15527
2001-03-13,15584,15536,15768,15444,"228,08M","0,37%",15584
2001-03-14,15245,15583,15583,1507,"228,52M","-2,18%",15245
2001-03-15,15061,15252,15482,14977,"202,50M","-1,21%",15061
2001-03-16,15237,15076,15356,15047,"143,29M","1,17%",15237
2001-03-19,14836,15249,15378,14802,"154,66M","-2,63%",14836
2001-03-20,14903,14854,15077,14854,"228,30M","0,45%",14903
2001-03-21,14853,14914,15198,14755,"179,48M","-0,34%",14853
2001-03-22,14067,14847,14847,13761,"332,42M","-5,29%",14067
2001-03-23,14435,1407,14435,13855,"269,82M","2,61%",14435
2001-03-26,14712,14443,14912,14443,"219,81M","1,92%",14712
2001-03-27,14835,14733,14951,14594,"217,41M","0,84%",14835
2001-03-28,14632,14846,14852,14574,"159,93M","-1,37%",14632
2001-03-29,14282,14647,14713,14226,"250,41M","-2,39%",14282
2001-03-30,14438,14292,14438,13922,"256,61M","1,09%",14438
2001-04-02,13981,14441,14482,13981,"154,24M","-3,17%",13981
2001-04-03,13737,13988,14001,13664,"171,49M","-1,75%",13737
2001-04-04,13855,1374,14135,1374,"253,28M","0,86%",13855
2001-04-05,14443,13865,14482,13865,"271,47M","4,24%",14443
2001-04-06,14485,14428,14702,14371,"226,03M","0,29%",14485
2001-04-09,14719,14489,14719,14446,"226,88M","1,62%",14719
2001-04-10,15048,14725,15097,14725,"264,00M","2,23%",15048
2001-04-11,14819,15057,15267,14724,"292,05M","-1,52%",14819
2001-04-12,14969,14811,14969,1449,"163,26M","1,02%",14969
2001-04-16,14445,14974,14976,14385,"175,43M","-3,51%",14445
2001-04-17,14337,14443,14555,14223,"208,53M","-0,75%",14337
2001-04-18,14955,14345,15151,14323,"318,38M","4,31%",14955
2001-04-19,14431,14956,15017,1442,"239,25M","-3,51%",14431
2001-04-20,13696,14408,14408,13618,"308,75M","-5,09%",13696
2001-04-23,13893,13734,13893,13325,"187,58M","1,43%",13893
2001-04-24,14068,13894,14207,13894,"162,74M","1,26%",14068
2001-04-25,14163,14062,14223,13785,"272,85M","0,67%",14163
2001-04-26,14757,14204,1477,14202,"276,08M","4,20%",14757
2001-04-27,14928,14752,15135,14752,"265,27M","1,16%",14928
2001-04-30,14918,14944,1521,14838,"213,88M","-0,07%",14918
2001-05-02,14897,14877,1492,14636,"242,43M","-0,14%",14897
2001-05-03,15142,14906,15142,14762,"218,30M","1,64%",15142
2001-05-04,15093,15142,15304,15041,"187,59M","-0,32%",15093
2001-05-07,14875,15103,15222,14862,"171,28M","-1,44%",14875
2001-05-08,14747,14861,14958,14656,"216,21M","-0,86%",14747
2001-05-09,14779,14717,14867,14576,"234,49M","0,21%",14779
2001-05-10,14993,14796,15117,14796,"212,94M","1,45%",14993
2001-05-11,14493,15012,15018,1441,"184,58M","-3,34%",14493
2001-05-14,14237,14499,14507,14104,"154,21M","-1,77%",14237
2001-05-15,14226,14141,14314,1411,"257,18M","-0,07%",14226
2001-05-16,14714,14256,14738,14256,"337,80M","3,43%",14714
2001-05-17,14794,14727,15095,14725,"209,33M","0,54%",14794
2001-05-18,14884,14848,15012,148,"247,04M","0,61%",14884
2001-05-21,15128,14871,15158,14807,"290,99M","1,64%",15128
2001-05-22,14829,15142,15197,14794,"273,63M","-1,98%",14829
2001-05-23,14692,14829,14905,14627,"343,14M","-0,93%",14692
2001-05-24,14523,14694,14834,14431,"298,81M","-1,15%",14523
2001-05-25,1431,14523,14589,14179,"256,10M","-1,47%",1431
2001-05-28,14302,14328,14439,14056,"989,42M","-0,06%",14302
2001-05-29,14454,14302,14489,14301,"193,20M","1,06%",14454
2001-05-30,14489,14459,14579,14347,"215,99M","0,25%",14489
2001-05-31,1465,14514,14724,14508,"204,84M","1,11%",1465
2001-06-01,14792,14654,14792,14409,"215,98M","0,97%",14792
2001-06-04,15104,14798,15141,14798,"172,47M","2,11%",15104
2001-06-05,15395,15107,15406,15032,"299,14M","1,93%",15395
2001-06-06,15329,15393,15569,15268,"254,76M","-0,43%",15329
2001-06-07,15464,15319,15546,15201,"243,10M","0,88%",15464
2001-06-08,15366,15469,15644,15355,"211,87M","-0,63%",15366
2001-06-11,15224,15291,15397,15159,"160,55M","-0,92%",15224
2001-06-12,15173,15238,15238,14956,"206,82M","-0,34%",15173
2001-06-13,15403,15175,156,15175,"330,04M","1,52%",15403
2001-06-15,14985,15386,15386,14964,"123,03M","-2,72%",14985
2001-06-18,14355,14982,14982,14333,"214,87M","-4,20%",14355
2001-06-19,14401,14375,14541,14245,"243,54M","0,32%",14401
2001-06-20,14571,14396,14599,14393,"214,02M","1,18%",14571
2001-06-21,14823,14534,14841,14506,"252,61M","1,73%",14823
2001-06-22,14682,1487,15104,14677,"216,59M","-0,95%",14682
2001-06-25,1454,14682,14871,14479,"206,28M","-0,97%",1454
2001-06-26,1446,14521,1462,14401,"268,07M","-0,55%",1446
2001-06-27,14308,14477,1463,14265,"175,30M","-1,05%",14308
2001-06-28,14391,14321,14426,14164,"180,67M","0,58%",14391
2001-06-29,1456,14412,1464,14376,"160,35M","1,17%",1456
2001-07-02,14555,14579,14659,14483,"159,94M","-0,03%",14555
2001-07-03,14353,14561,14771,14325,"184,57M","-1,39%",14353
2001-07-04,14056,14352,14395,1398,"183,67M","-2,07%",14056
2001-07-05,14048,14084,14281,13943,"243,17M","-0,06%",14048
2001-07-06,13907,1403,14062,13788,"230,20M","-1,00%",13907
2001-07-10,1357,1393,1406,13564,"168,17M","-2,42%",1357
2001-07-11,13812,13508,13853,13361,"286,02M","1,78%",13812
2001-07-12,13916,13812,13987,13636,"232,12M","0,75%",13916
2001-07-13,14078,13907,14087,13737,"166,65M","1,17%",14078
2001-07-16,13811,14081,1412,13811,"126,17M","-1,90%",13811
2001-07-17,14169,13813,14218,13813,"222,67M","2,59%",14169
2001-07-18,13791,14171,14236,13778,"151,10M","-2,67%",13791
2001-07-19,13762,13795,13953,13641,"126,56M","-0,21%",13762
2001-07-20,14092,13766,14092,13659,"150,00M","2,40%",14092
2001-07-23,14068,14108,14239,14058,"133,60M","-0,17%",14068
2001-07-24,13738,14049,14106,13725,"165,31M","-2,35%",13738
2001-07-25,13956,13738,13956,13679,"178,15M","1,59%",13956
2001-07-26,1381,13963,1398,13736,"158,99M","-1,04%",1381
2001-07-27,1391,13825,1391,13759,"122,08M","0,72%",1391
2001-07-30,13704,13948,14117,13704,"107,29M","-1,49%",13704
2001-07-31,13754,13703,1383,13639,"127,19M","0,37%",13754
2001-08-01,13743,13757,13837,13606,"157,91M","-0,08%",13743
2001-08-02,13823,13746,13846,1369,"127,92M","0,58%",13823
2001-08-03,13838,1384,13902,13733,"116,51M","0,11%",13838
2001-08-06,14047,13856,14067,13854,"126,91M","1,51%",14047
2001-08-07,14036,14049,14143,14003,"183,42M","-0,08%",14036
2001-08-08,13919,14036,14113,13917,"176,93M","-0,83%",13919
2001-08-09,13834,13921,1393,13705,"147,03M","-0,61%",13834
2001-08-10,13915,13836,1392,13738,"164,57M","0,58%",13915
2001-08-13,13771,13914,13929,13716,"134,03M","-1,03%",13771
2001-08-14,13829,1377,13841,13732,"174,79M","0,42%",13829
2001-08-15,13659,13834,13856,13615,"322,13M","-1,24%",13659
2001-08-16,13509,13686,13722,13415,"147,86M","-1,09%",13509
2001-08-17,13044,13507,13507,1301,"178,55M","-3,44%",13044
2001-08-20,13115,13044,13228,12916,"130,82M","0,55%",13115
2001-08-21,12892,13122,13186,12886,"209,38M","-1,71%",12892
2001-08-22,12952,12907,13161,12853,"286,92M","0,47%",12952
2001-08-23,12751,12961,13013,12703,"214,79M","-1,56%",12751
2001-08-24,13001,12749,13007,12681,"155,33M","1,96%",13001
2001-08-27,12996,130,13048,12849,"121,30M","-0,04%",12996
2001-08-28,13018,13005,13114,12942,"125,56M","0,17%",13018
2001-08-29,13077,1304,13182,13012,"149,91M","0,45%",13077
2001-08-30,12892,13074,13114,12798,"138,37M","-1,41%",12892
2001-08-31,12841,12906,12949,12789,"235,70M","-0,40%",12841
2001-09-03,128,12849,12863,12696,"121,16M","-0,32%",128
2001-09-04,12767,12812,12947,12767,"188,01M","-0,26%",12767
2001-09-05,12591,12767,12768,12462,"384,38M","-1,38%",12591
2001-09-06,12255,12594,12599,12251,"181,83M","-2,67%",12255
2001-09-10,11922,12238,12238,11901,"221,03M","-2,72%",11922
2001-09-11,10828,1193,11987,10824,"533,44M","-9,18%",10828
2001-09-12,11114,10773,11319,10706,"296,45M","2,64%",11114
2001-09-13,10306,11127,11156,1029,"178,81M","-7,26%",10306
2001-09-14,10034,10262,10271,9533,"319,53M","-2,64%",10034
2001-09-17,10545,10032,10577,10032,"298,05M","5,09%",10545
2001-09-18,10554,10543,10708,10321,"330,34M","0,09%",10554
2001-09-19,10745,1056,10836,10485,"288,48M","1,80%",10745
2001-09-20,10543,10719,10719,1047,"211,52M","-1,87%",10543
2001-09-21,10419,10493,10493,989,"298,28M","-1,18%",10419
2001-09-24,10533,10453,10694,10453,"240,35M","1,09%",10533
2001-09-25,10229,10539,10596,10195,"218,99M","-2,88%",10229
2001-09-26,10006,10227,10274,9893,"181,63M","-2,18%",10006
2001-09-27,10405,9996,10462,9705,"257,06M","3,99%",10405
2001-09-28,10636,10412,10714,10412,"270,61M","2,22%",10636
2001-10-01,10501,10633,10633,10354,"158,46M","-1,27%",10501
2001-10-02,10351,10492,10556,10299,"169,66M","-1,43%",10351
2001-10-03,10233,10356,10356,10189,"225,14M","-1,14%",10233
2001-10-04,10062,10241,10329,10026,"208,86M","-1,67%",10062
2001-10-05,10197,10068,10271,9985,"156,80M","1,34%",10197
2001-10-08,10095,1012,10175,9986,"138,96M","-1,01%",10095
2001-10-09,10284,10109,10323,10103,"175,76M","1,88%",10284
2001-10-10,10462,10284,10462,10255,"191,25M","1,73%",10462
2001-10-11,10785,10462,1079,10461,"224,63M","3,08%",10785
2001-10-15,11329,10775,1133,10695,"287,94M","5,05%",11329
2001-10-16,11258,11326,11475,11165,"269,22M","-0,63%",11258
2001-10-17,11271,11287,11485,11166,"388,83M","0,12%",11271
2001-10-18,10995,1126,11263,10948,"200,61M","-2,45%",10995
2001-10-19,11332,11003,11413,10894,"291,74M","3,06%",11332
2001-10-22,117,11343,11725,11293,"214,22M","3,25%",117
2001-10-23,11613,11699,11803,11584,"274,09M","-0,74%",11613
2001-10-24,11468,11611,11666,1143,"245,55M","-1,25%",11468
2001-10-25,11724,11459,11783,11307,"286,70M","2,23%",11724
2001-10-26,11781,11725,11924,11715,"222,69M","0,48%",11781
2001-10-29,11377,11784,11784,11331,"213,22M","-3,43%",11377
2001-10-30,11024,11334,11396,11024,"235,31M","-3,10%",11024
2001-10-31,11365,11057,11365,11047,"221,29M","3,09%",11365
2001-11-01,11388,11362,11498,11177,"168,79M","0,20%",11388
2001-11-05,12165,11389,12177,11389,"348,74M","6,82%",12165
2001-11-06,12416,12154,12481,12139,"421,36M","2,06%",12416
2001-11-07,12616,12405,12982,12331,"479,79M","1,61%",12616
2001-11-08,12554,12633,12892,12473,"323,46M","-0,49%",12554
2001-11-09,12731,12542,12778,12412,"304,45M","1,41%",12731
2001-11-12,12567,12729,12767,12233,"269,38M","-1,29%",12567
2001-11-13,12918,12591,13094,12591,"303,84M","2,79%",12918
2001-11-14,12826,12928,13077,12746,"292,88M","-0,72%",12826
2001-11-16,12883,12838,13046,12807,"195,12M","0,45%",12883
2001-11-19,12987,12906,13137,12902,"297,73M","0,81%",12987
2001-11-20,12638,12992,12998,12619,"253,83M","-2,69%",12638
2001-11-21,12794,12646,12832,1256,"249,44M","1,23%",12794
2001-11-22,13019,12794,13056,12794,"166,88M","1,76%",13019
2001-11-23,13424,13037,13529,13037,"361,50M","3,11%",13424
2001-11-26,1376,13443,1376,13443,"351,84M","2,50%",1376
2001-11-27,13603,13771,13791,1349,"298,49M","-1,14%",13603
2001-11-28,13019,13553,13553,12913,"322,67M","-4,29%",13019
2001-11-29,12736,13019,13187,12622,"274,77M","-2,17%",12736
2001-11-30,12932,12744,13053,12704,"270,71M","1,53%",12932
2001-12-03,13336,12914,13336,1287,"334,25M","3,13%",13336
2001-12-04,13147,13374,13565,13071,"423,21M","-1,42%",13147
2001-12-05,13382,13186,13382,13103,"367,59M","1,79%",13382
2001-12-06,13539,13382,13575,1323,"374,66M","1,17%",13539
2001-12-07,13299,13565,13662,13233,"222,83M","-1,77%",13299
2001-12-10,13446,13299,13446,13193,"240,35M","1,11%",13446
2001-12-11,13348,13455,13595,13337,"282,69M","-0,73%",13348
2001-12-12,13563,1335,13576,13297,"474,74M","1,61%",13563
2001-12-13,13148,13577,1358,13144,"215,56M","-3,06%",13148
2001-12-14,12959,13129,13154,12894,"215,36M","-1,44%",12959
2001-12-17,12912,12965,13063,12912,"177,80M","-0,36%",12912
2001-12-18,13397,12935,13414,12924,"308,83M","3,76%",13397
2001-12-19,1329,13405,13508,13284,"301,56M","-0,80%",1329
2001-12-20,12918,13271,13271,12809,"281,69M","-2,80%",12918
2001-12-21,13369,12935,13385,12935,"224,16M","3,49%",13369
2001-12-26,13358,13367,13446,13245,"176,21M","-0,08%",13358
2001-12-27,13756,13371,13823,13369,"312,06M","2,97%",13756
2001-12-28,13578,13741,13969,1351,"359,98M","-1,29%",13578
2002-01-02,13872,13586,13902,13571,"237,33M","2,17%",13872
2002-01-03,14265,14125,14286,14121,"275,65M","2,83%",14265
2002-01-04,14332,1425,14358,14103,"245,32M","0,47%",14332
2002-01-07,14379,14327,14413,14273,"245,05M","0,33%",14379
2002-01-08,14168,14385,14385,14099,"242,08M","-1,47%",14168
2002-01-09,14021,14157,1419,13919,"262,64M","-1,04%",14021
2002-01-10,1357,1401,1401,13511,"311,47M","-3,21%",1357
2002-01-11,13587,13554,13835,13554,"230,48M","0,13%",13587
2002-01-14,13122,13594,13601,13068,"187,13M","-3,43%",13122
2002-01-15,13011,13131,13362,12937,"246,91M","-0,85%",13011
2002-01-16,13084,13006,13186,12941,"240,16M","0,56%",13084
2002-01-17,13337,13109,13359,13109,"182,91M","1,93%",13337
2002-01-18,13373,1334,13407,13262,"129,17M","0,27%",13373
2002-01-21,13155,13367,13367,13134,"601,52M","-1,63%",13155
2002-01-22,13004,13177,13331,12956,"215,53M","-1,15%",13004
2002-01-23,13232,13025,13285,12982,"204,73M","1,75%",13232
2002-01-24,13162,13239,13309,13147,"136,78M","-0,53%",13162
2002-01-28,13002,13161,13215,1299,"185,55M","-1,22%",13002
2002-01-29,12501,1301,13182,12476,"268,53M","-3,85%",12501
2002-01-30,12532,12512,12627,12301,"278,10M","0,25%",12532
2002-01-31,12721,12563,12812,12561,"257,90M","1,51%",12721
2002-02-01,12659,12723,12783,12567,"169,21M","-0,49%",12659
2002-02-04,12513,12648,12655,12416,"178,33M","-1,15%",12513
2002-02-05,12748,12557,12778,12415,"253,54M","1,88%",12748
2002-02-06,12751,12751,12883,12666,"224,92M","0,03%",12751
2002-02-07,12684,12752,12774,12684,"175,97M","-0,53%",12684
2002-02-08,12598,12684,12693,12591,"138,15M","-0,68%",12598
2002-02-13,12961,12599,12961,12504,"390,71M","2,88%",12961
2002-02-14,13245,12962,13245,12908,"236,09M","2,19%",13245
2002-02-15,1323,13222,133,13169,"191,19M","-0,12%",1323
2002-02-18,13122,13208,13238,13027,"118,57M","-0,81%",13122
2002-02-19,12992,13125,13245,12984,"227,08M","-0,99%",12992
2002-02-20,13303,13001,1333,12919,"317,64M","2,40%",13303
2002-02-21,1353,13328,13677,13328,"371,12M","1,71%",1353
2002-02-22,13563,13535,13641,13513,"215,24M","0,24%",13563
2002-02-25,13978,13567,14005,13567,"291,16M","3,06%",13978
2002-02-26,13964,13975,14053,13832,"214,39M","-0,10%",13964
2002-02-27,14212,13978,14251,13978,"254,10M","1,78%",14212
2002-02-28,14033,14216,14221,14033,"257,11M","-1,26%",14033
2002-03-01,14343,14047,14355,13978,"289,76M","2,21%",14343
2002-03-04,14471,14373,14474,141,"262,75M","0,89%",14471
2002-03-05,14011,14455,14482,14011,"246,94M","-3,18%",14011
2002-03-06,13839,14007,14007,13683,"357,27M","-1,23%",13839
2002-03-07,13726,13836,14011,1364,"317,48M","-0,81%",13726
2002-03-08,13962,13783,13962,13767,"245,02M","1,72%",13962
2002-03-11,13696,13959,14032,13593,"245,20M","-1,91%",13696
2002-03-12,14181,13717,14213,1371,"345,74M","3,55%",14181
2002-03-13,14244,14191,14352,141,"274,44M","0,44%",14244
2002-03-14,14117,1424,14337,14025,"219,23M","-0,89%",14117
2002-03-15,14365,1412,1437,14089,"270,48M","1,76%",14365
2002-03-18,14245,14366,14495,14217,"162,42M","-0,84%",14245
2002-03-19,14118,14266,1433,14069,"207,72M","-0,89%",14118
2002-03-20,1409,14123,14158,13895,"244,73M","-0,20%",1409
2002-03-21,13717,14086,14086,13662,"212,59M","-2,64%",13717
2002-03-22,13312,13723,13726,13283,"374,33M","-2,95%",13312
2002-03-25,13278,13359,1343,13183,"203,20M","-0,26%",13278
2002-03-26,1357,13309,1357,13309,"198,64M","2,20%",1357
2002-03-27,13425,13569,13579,13425,"150,17M","-1,07%",13425
2002-03-28,13255,13428,13498,13226,"181,62M","-1,27%",13255
2002-04-01,13467,13253,13499,13095,"202,99M","1,61%",13467
2002-04-02,13245,13482,13535,13245,"225,92M","-1,65%",13245
2002-04-03,13085,1328,13345,13061,"235,62M","-1,21%",13085
2002-04-04,1336,1309,1337,13041,"187,24M","2,11%",1336
2002-04-05,13276,13362,13445,13233,"184,87M","-0,63%",13276
2002-04-08,1316,13248,13248,13114,"108,39M","-0,88%",1316
2002-04-09,13195,13165,13243,13147,"193,14M","0,27%",13195
2002-04-10,13416,13183,13445,13182,"221,90M","1,68%",13416
2002-04-11,13411,13419,13559,13385,"206,35M","-0,03%",13411
2002-04-12,13751,13418,13764,13418,"243,71M","2,53%",13751
2002-04-15,13472,13772,13822,13438,"309,23M","-2,03%",13472
2002-04-16,13623,13476,13693,13476,"246,14M","1,12%",13623
2002-04-17,13732,13633,13872,13633,"383,65M","0,80%",13732
2002-04-18,13573,13729,13729,13446,"276,04M","-1,16%",13573
2002-04-19,13478,13568,13631,13448,"159,61M","-0,70%",13478
2002-04-22,13224,13484,13485,13056,"241,62M","-1,89%",13224
2002-04-23,13188,13224,13302,13076,"275,08M","-0,27%",13188
2002-04-24,13381,13182,13394,13176,"207,59M","1,46%",13381
2002-04-25,13273,13384,13384,13113,"243,73M","-0,81%",13273
2002-04-26,13076,13273,13367,13037,"266,16M","-1,49%",13076
2002-04-29,1309,13076,13142,13032,"127,56M","0,11%",1309
2002-04-30,13085,13096,13267,13065,"302,18M","-0,04%",13085
2002-05-02,12538,13088,1309,1251,"302,43M","-4,18%",12538
2002-05-03,1261,12557,12679,12431,"255,43M","0,57%",1261
2002-05-06,1243,12594,12595,12272,"188,42M","-1,42%",1243
2002-05-07,12342,12433,12631,12291,"244,07M","-0,71%",12342
2002-05-08,12617,12353,12664,12353,"251,81M","2,22%",12617
2002-05-09,12102,12602,12603,12077,"284,22M","-4,08%",12102
2002-05-10,1213,12106,1218,11944,"282,86M","0,23%",1213
2002-05-13,12002,12147,12212,11943,"145,04M","-1,05%",12002
2002-05-14,12204,11999,12327,11999,"317,39M","1,68%",12204
2002-05-15,1235,12207,12468,12114,"313,27M","1,19%",1235
2002-05-16,1266,12396,12691,12396,"240,63M","2,51%",1266
2002-05-17,12699,12665,12739,12563,"195,30M","0,31%",12699
2002-05-20,12668,127,1277,12606,"144,79M","-0,25%",12668
2002-05-21,12701,12674,12774,12627,"187,20M","0,26%",12701
2002-05-22,12368,12697,12845,12352,"349,26M","-2,62%",12368
2002-05-23,12556,1238,12561,12244,"223,99M","1,52%",12556
2002-05-24,12574,12544,12689,12445,"165,55M","0,15%",12574
2002-05-27,12698,12578,12708,12528,"177,32M","0,99%",12698
2002-05-28,12728,12703,12861,12703,"269,31M","0,23%",12728
2002-05-29,12985,12728,13003,1272,"335,90M","2,02%",12985
2002-05-31,12861,12992,13013,12861,"121,68M","-0,95%",12861
2002-06-03,12659,12859,12919,12641,"123,49M","-1,57%",12659
2002-06-04,126,12637,12642,12493,"156,26M","-0,47%",126
2002-06-05,1259,1258,12707,12574,"226,08M","-0,08%",1259
2002-06-06,12113,12591,12595,12113,"247,64M","-3,79%",12113
2002-06-07,12283,12051,1231,11955,"233,61M","1,40%",12283
2002-06-10,126,12306,126,12304,"187,12M","2,58%",126
2002-06-11,1221,12609,12686,1217,"262,65M","-3,09%",1221
2002-06-12,12133,12221,124,12058,"343,20M","-0,63%",12133
2002-06-13,11962,1218,12313,11962,"212,07M","-1,41%",11962
2002-06-14,11699,11985,11985,11601,"187,59M","-2,20%",11699
2002-06-17,11937,11705,11955,11705,"177,93M","2,04%",11937
2002-06-18,11821,11942,12116,11809,"222,02M","-0,97%",11821
2002-06-19,11493,11822,11901,11485,"228,62M","-2,77%",11493
2002-06-20,10909,11508,11603,10894,"271,26M","-5,09%",10909
2002-06-21,10398,10917,1101,10298,"285,44M","-4,69%",10398
2002-06-24,10759,10438,10814,10247,"281,29M","3,48%",10759
2002-06-25,10706,10773,10973,10597,"324,92M","-0,50%",10706
2002-06-26,10691,10676,10694,1043,"280,53M","-0,14%",10691
2002-06-27,11013,1069,11013,1069,"297,54M","3,02%",11013
2002-06-28,11139,11018,11271,11018,"470,28M","1,14%",11139
2002-07-01,10892,11138,11173,10853,"323,09M","-2,21%",10892
2002-07-02,10846,10891,10908,10711,"227,87M","-0,43%",10846
2002-07-03,10636,10854,10868,1052,"260,48M","-1,94%",10636
2002-07-04,10655,10661,10721,10594,"165,30M","0,19%",10655
2002-07-05,10524,10663,10668,10425,"205,13M","-1,24%",10524
2002-07-08,10687,10524,10708,10506,"123,37M","1,55%",10687
2002-07-10,10556,1069,10851,10539,"273,62M","-1,23%",10556
2002-07-11,10806,10545,1081,10467,"340,31M","2,37%",10806
2002-07-12,10967,10811,10968,10697,"335,18M","1,49%",10967
2002-07-15,10633,10966,10969,10474,"274,35M","-3,04%",10633
2002-07-16,10578,10646,10743,10522,"236,30M","-0,52%",10578
2002-07-17,10755,10589,10814,10589,"268,14M","1,67%",10755
2002-07-18,10813,10755,10915,1071,"166,30M","0,54%",10813
2002-07-19,10583,10813,10813,10545,"219,32M","-2,12%",10583
2002-07-22,9892,10568,10568,9879,"331,72M","-6,53%",9892
2002-07-23,9746,99,10082,9603,"275,89M","-1,48%",9746
2002-07-24,9937,9739,9973,9423,"353,44M","1,97%",9937
2002-07-25,9666,9947,9947,9486,"282,23M","-2,73%",9666
2002-07-26,9217,9672,9778,9155,"271,16M","-4,64%",9217
2002-07-29,924,9251,9673,924,"324,74M","0,25%",924
2002-07-30,9342,9247,9613,9188,"465,72M","1,10%",9342
2002-07-31,9763,9346,9896,9344,"325,56M","4,50%",9763
2002-08-01,976,9782,9864,9537,"371,81M","-0,03%",976
2002-08-02,9852,9768,9943,9738,"300,24M","0,95%",9852
2002-08-05,947,9848,9848,9452,"306,84M","-3,88%",947
2002-08-06,9755,9472,9795,9471,"239,72M","3,01%",9755
2002-08-07,987,9766,9933,9649,"310,75M","1,17%",987
2002-08-08,10316,9911,1042,9911,"593,88M","4,52%",10316
2002-08-09,9986,10315,10315,9971,"289,95M","-3,20%",9986
2002-08-12,9724,10008,10009,9687,"198,18M","-2,62%",9724
2002-08-13,9444,9724,9842,9444,"311,90M","-2,88%",9444
2002-08-14,9343,9461,9587,9017,"497,66M","-1,07%",9343
2002-08-15,9183,9373,9473,9161,"242,40M","-1,71%",9183
2002-08-16,9526,9213,9539,9213,"325,42M","3,74%",9526
2002-08-19,9417,9512,9657,9404,"296,57M","-1,15%",9417
2002-08-20,9263,9455,9552,9258,"243,67M","-1,63%",9263
2002-08-21,9438,927,9495,927,"289,75M","1,89%",9438
2002-08-22,9703,9441,9703,9412,"300,58M","2,81%",9703
2002-08-23,9676,971,9761,9594,"293,00M","-0,27%",9676
2002-08-26,10098,969,101,9689,"332,03M","4,35%",10098
2002-08-27,10372,10118,10389,10118,"479,17M","2,72%",10372
2002-08-28,1038,10383,10436,10231,"417,55M","0,08%",1038
2002-08-29,10455,10351,10519,10175,"507,11M","0,73%",10455
2002-08-30,10382,10465,10604,10382,"628,83M","-0,70%",10382
2002-09-02,10378,10383,10477,10312,"206,19M","-0,04%",10378
2002-09-03,10136,10365,10372,10065,"336,90M","-2,34%",10136
2002-09-04,9997,10167,10174,9921,"270,94M","-1,37%",9997
